Date,Open,High,Low,Close,Adj Close,Volume
2022-07-20,22.049999,22.450001,22.049999,22.260000,22.260000,8829000
2022-07-21,21.840000,22.910000,21.559999,22.840000,22.840000,17698300
2022-07-22,22.820000,23.340000,22.600000,22.670000,22.670000,10019100
2022-07-25,23.000000,23.830000,22.900000,23.610001,23.610001,12982200
2022-07-26,23.910000,24.100000,23.260000,23.740000,23.740000,12610200
2022-07-27,23.959999,23.980000,22.900000,23.690001,23.690001,21313200
2022-07-28,23.900000,24.139999,23.240000,23.790001,23.790001,12160600
2022-07-29,24.020000,24.530001,23.860001,24.219999,24.219999,16327300
2022-08-01,23.750000,23.780001,22.930000,23.370001,23.370001,13544400
2022-08-02,23.330000,23.910000,23.280001,23.389999,23.389999,12047800
2022-08-03,23.629999,23.809999,23.160000,23.760000,23.760000,14747700
2022-08-04,24.389999,24.410000,23.270000,23.350000,23.350000,21549200
2022-08-05,23.260000,24.500000,22.910000,24.070000,24.070000,17246700
2022-08-08,24.040001,24.980000,23.850000,24.650000,24.650000,17511200
2022-08-09,25.000000,25.290001,24.660000,25.049999,25.049999,14000800
2022-08-10,25.270000,25.360001,24.540001,24.799999,24.799999,12328200
2022-08-11,25.150000,25.770000,25.100000,25.360001,25.360001,13333400
2022-08-12,25.230000,25.889999,25.230000,25.870001,25.870001,9901500
2022-08-15,24.950001,25.540001,24.709999,25.330000,25.330000,12040300
2022-08-16,24.820000,24.900000,24.170000,24.320000,24.320000,15768200
2022-08-17,24.209999,24.639999,23.910000,24.340000,24.340000,15753700
2022-08-18,24.690001,25.049999,24.459999,24.639999,24.639999,9881300
2022-08-19,24.400000,24.780001,23.840000,23.969999,23.969999,14198900
2022-08-22,23.840000,23.879999,22.969999,23.420000,23.420000,17384200
2022-08-23,23.620001,25.209999,23.559999,25.110001,25.110001,18791600
2022-08-24,24.889999,26.250000,24.840000,25.980000,25.980000,17840600
2022-08-25,26.200001,26.450001,25.740000,26.389999,26.389999,13930000
2022-08-26,26.480000,26.690001,26.100000,26.559999,26.559999,9020200
2022-08-29,26.549999,28.040001,26.440001,27.230000,27.230000,17733800
2022-08-30,26.870001,27.389999,26.309999,26.870001,26.870001,15473700
2022-08-31,26.490000,27.430000,26.200001,27.309999,27.309999,16003600
2022-09-01,27.250000,27.270000,26.799999,27.200001,27.200001,11493000
2022-09-02,28.180000,29.350000,27.600000,27.750000,27.750000,24420500
2022-09-05,28.590000,29.770000,28.510000,29.540001,29.540001,24967700
2022-09-06,28.900000,29.450001,28.620001,28.719999,28.719999,15255300
2022-09-08,28.299999,28.430000,27.080000,27.549999,27.549999,25474300
2022-09-09,27.910000,28.180000,27.459999,28.049999,28.049999,17148400
2022-09-12,28.459999,28.830000,27.430000,27.600000,27.600000,14254400
2022-09-13,27.150000,27.850000,26.940001,27.030001,27.030001,13945300
2022-09-14,27.000000,28.410000,26.910000,28.410000,28.410000,13704500
2022-09-15,28.049999,28.270000,27.330000,27.700001,27.700001,10301800
2022-09-16,27.600000,28.090000,27.290001,28.020000,28.020000,12828900
2022-09-19,27.400000,28.280001,27.340000,28.080000,28.080000,11661000
2022-09-20,28.160000,28.410000,27.959999,28.330000,28.330000,6985500
2022-09-21,28.700001,28.840000,28.280001,28.530001,28.530001,9972600
2022-09-22,28.850000,29.660000,28.420000,29.549999,29.549999,12783100
2022-09-23,28.780001,29.080000,27.430000,28.120001,28.120001,22117400
2022-09-26,28.120001,28.120001,28.120001,28.120001,28.120001,0
2022-09-27,27.760000,28.040001,27.110001,27.180000,27.180000,11494400
2022-09-28,27.250000,28.330000,27.070000,27.910000,27.910000,19373100
2022-09-29,27.719999,27.830000,26.830000,27.230000,27.230000,11230300
2022-09-30,27.010000,27.809999,26.809999,27.530001,27.530001,8803300
2022-10-03,28.580000,29.430000,28.500000,28.940001,28.940001,12394100
2022-10-04,29.490000,30.969999,29.440001,30.330000,30.330000,28091600
2022-10-05,30.290001,31.850000,30.090000,31.299999,31.299999,17696000
2022-10-06,31.719999,31.850000,31.170000,31.610001,31.610001,9359500
2022-10-07,31.510000,32.549999,31.400000,32.009998,32.009998,10854100
2022-10-10,32.360001,32.400002,31.230000,31.459999,31.459999,11087800
2022-10-11,31.170000,31.870001,30.930000,31.500000,31.500000,11702400
2022-10-13,31.139999,32.410000,31.030001,31.760000,31.760000,11704800
2022-10-14,31.879999,31.940001,30.760000,31.049999,31.049999,10181300
2022-10-17,31.299999,31.830000,31.150000,31.350000,31.350000,6553700
2022-10-18,31.600000,32.349998,31.559999,32.230000,32.230000,13788300
2022-10-19,32.310001,33.639999,31.959999,33.430000,33.430000,13885100
2022-10-20,33.900002,33.990002,32.799999,33.209999,33.209999,9655600
2022-10-21,33.090000,34.080002,33.090000,33.849998,33.849998,9791200
2022-10-24,33.459999,34.000000,33.110001,33.490002,33.490002,5183200
2022-10-25,33.299999,34.250000,33.110001,33.959999,33.959999,4341000
